video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
['"CQ0UgacuzG8","KFC Bucket Slide","2020-11-20T09:28:38Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-20T09:28:38Z","[none]","247602","507","156","0","https://i.ytimg.com/vi/CQ0UgacuzG8/default.jpg","False","False",""']
['"G3RtmHoNSFY","KFC Buckets Starting @199 only!","2020-11-11T13:08:23Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-11T13:08:23Z","[none]","4845","37","9","0","https://i.ytimg.com/vi/G3RtmHoNSFY/default.jpg","False","False",""']
['"N-T9E50salw","KFC now open at Palakkad!","2020-11-11T13:06:38Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-11T13:06:38Z","[none]","2853","25","13","0","https://i.ytimg.com/vi/N-T9E50salw/default.jpg","False","False",""']
['"6MSKJyiBeMY","KFC now open at Bannerghatta road, Bengaluru!","2020-11-04T14:36:12Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-04T14:36:12Z","[none]","1662","18","6","0","https://i.ytimg.com/vi/6MSKJyiBeMY/default.jpg","False","False",""']
['"iIK0mZLDo1w","KFC now open at Gomti Nagar, Lucknow!","2020-11-04T14:34:21Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-04T14:34:21Z","[none]","1506","17","4","0","https://i.ytimg.com/vi/iIK0mZLDo1w/default.jpg","False","False",""']
['"IsalduJYpPg","KFC now open at Metro World Mall, Gurgaon!","2020-11-04T14:31:07Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-04T14:31:07Z","[none]","1852","16","7","0","https://i.ytimg.com/vi/IsalduJYpPg/default.jpg","False","False",""']
['"jh05ftlNJPg","KFC now open at Sushantlok, Gurgaon!","2020-11-04T14:30:10Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-04T14:30:10Z","[none]","5204","26","22","0","https://i.ytimg.com/vi/jh05ftlNJPg/default.jpg","False","False",""']
['"xjAEKncT1_w","Big Treat Week - OFFER ENDS TODAY!!","2020-11-01T04:30:02Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-11-01T04:30:02Z","[none]","3378","25","12","0","https://i.ytimg.com/vi/xjAEKncT1_w/default.jpg","False","False","There’s something for everyone!26th Oct - 1st NovAvailable on Dine-in, Takeaway, KFC App and WebsiteWalk in or Order NOW!!"']
['"-dGJdTsnzBs","Big Treat Week - OFFER ENDS TOMORROW!!!","2020-10-31T04:30:00Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-10-31T04:30:00Z","[none]","1796","23","8","0","https://i.ytimg.com/vi/-dGJdTsnzBs/default.jpg","False","False","There’s something for everyone!26th Oct - 1st NovAvailable on Dine-in, Takeaway, KFC App and WebsiteWalk in or Order NOW!!"']
['"nkovsJ4zrAI","Big Treat Week - ONLY 3 DAYS TO GO!!!","2020-10-30T06:58:47Z","UCg5ukNutGtg1KqvWwuc56xw","KFC India","24","2020-10-30T06:58:47Z","[none]","23378","37","13","0","https://i.ytimg.com/vi/nkovsJ4zrAI/default.jpg","False","False","There’s something for everyone!26th Oct - 1st NovAvailable on Dine-in, Takeaway, KFC App and WebsiteWalk in or Order NOW!!"']
